,Urls,Mark
0,https://avatars.mds.yandex.net/get-autoru-vos/2165842/b8992d1f916e68069429444b629d4b60/320x240,LADA (ВАЗ)
1,https://avatars.mds.yandex.net/get-autoru-vos/2077303/636b463a227c30a1993d4ea8dcbe0784/320x240,LADA (ВАЗ)
2,https://avatars.mds.yandex.net/get-autoru-vos/2171484/b9c9fdbcca280511edac12a696930036/320x240,LADA (ВАЗ)
3,https://avatars.mds.yandex.net/get-autoru-vos/2176986/4564f30f8d740b9b749a14fd458ea0f7/320x240,LADA (ВАЗ)
4,https://avatars.mds.yandex.net/get-autoru-vos/2176180/bb77aa44f8e5167a429b22dfedd75247/320x240,LADA (ВАЗ)
5,https://avatars.mds.yandex.net/get-autoru-vos/2133985/ad7da118b98f9e2fc2cec046821f507d/320x240,LADA (ВАЗ)
6,https://avatars.mds.yandex.net/get-autoru-vos/1936677/b38cf3daf221a36eafe8c5927df05e01/320x240,LADA (ВАЗ)
7,https://avatars.mds.yandex.net/get-autoru-vos/1698998/9449a2c53ad6d16c0baf9227af3fdc1b/320x240,LADA (ВАЗ)
8,https://avatars.mds.yandex.net/get-autoru-vos/2160421/2fff78123f26af7d09b0075760951cfa/320x240,LADA (ВАЗ)
9,https://avatars.mds.yandex.net/get-autoru-vos/2078234/b5a1029177a6be976b1f4ed02fda49dd/320x240,LADA (ВАЗ)
10,https://avatars.mds.yandex.net/get-autoru-vos/2198920/81932bdf3596893ba5cee00070869009/320x240,LADA (ВАЗ)
11,https://avatars.mds.yandex.net/get-autoru-vos/3939611/ea5198b008f29537c218c7009f4a77fa/320x240,LADA (ВАЗ)
12,https://avatars.mds.yandex.net/get-autoru-vos/4762348/02d8c7d1dce4604d366018f6fae18d5c/320x240,LADA (ВАЗ)
13,https://avatars.mds.yandex.net/get-autoru-vos/2168517/131cdedd23ac7be72e9f8176c08e3145/320x240,LADA (ВАЗ)
14,https://avatars.mds.yandex.net/get-autoru-vos/1659147/aafedbce96be82410bb119b15d9982b1/320x240,LADA (ВАЗ)
15,https://avatars.mds.yandex.net/get-autoru-vos/2129733/3663f0f1f6458b71cd70bc27fd579622/320x240,LADA (ВАЗ)
16,https://avatars.mds.yandex.net/get-autoru-vos/1871183/530450ffe75322ec666cc7a77d32dcdf/320x240,LADA (ВАЗ)
17,https://avatars.mds.yandex.net/get-autoru-vos/2134599/dcac7828ca408615cc68a9155d92446f/320x240,LADA (ВАЗ)
18,https://avatars.mds.yandex.net/get-verba/787013/2a000001609d06d5c7df34307d361ef9d5be/wizardv3mr,LADA (ВАЗ)
19,https://avatars.mds.yandex.net/get-autoru-vos/2160967/7b839036c59579c62cb46719640cabf1/320x240,LADA (ВАЗ)
20,https://avatars.mds.yandex.net/get-verba/1030388/2a000001609d67764509bb9c7d50686014ec/wizardv3mr,LADA (ВАЗ)
21,https://avatars.mds.yandex.net/get-autoru-vos/2160984/85dd4d29b20a19c045cc09eddd18f3f0/320x240,LADA (ВАЗ)
22,https://avatars.mds.yandex.net/get-autoru-vos/2163561/69233e7a40da6cd53dc4536e18c852be/320x240,LADA (ВАЗ)
23,https://avatars.mds.yandex.net/get-verba/787013/2a000001609cff8494a7777d305c7e86a528/wizardv3mr,LADA (ВАЗ)
24,https://avatars.mds.yandex.net/get-autoru-vos/2076334/1ee059b73f8eb2ac1029acf7bd275639/320x240,LADA (ВАЗ)
25,https://avatars.mds.yandex.net/get-autoru-vos/1880478/ed591d42756e08cb40ca7527f77dcc5b/320x240,LADA (ВАЗ)
26,https://avatars.mds.yandex.net/get-autoru-vos/1598262/1f0500776985084af26ea6532b2f6004/320x240,LADA (ВАЗ)
27,https://avatars.mds.yandex.net/get-autoru-vos/2163571/c65d0dca46528f65f6700cd562743eb8/320x240,LADA (ВАЗ)
28,https://avatars.mds.yandex.net/get-autoru-vos/2153938/6bbd74f8c421307faf690df9a709662b/320x240,LADA (ВАЗ)
29,https://avatars.mds.yandex.net/get-autoru-vos/4701658/1eeefd218ecf5968585624f0a2e7ec06/320x240,LADA (ВАЗ)
30,https://avatars.mds.yandex.net/get-autoru-vos/1992150/2946833a28508f0334133c6a1a8aaa88/320x240,LADA (ВАЗ)
31,https://avatars.mds.yandex.net/get-autoru-vos/1948679/d6a0da8d10cfbcc782b403d5b359e17c/320x240,LADA (ВАЗ)
32,https://avatars.mds.yandex.net/get-autoru-vos/1925140/2d8cedd612d8957da90c9ab1fa512f8b/320x240,LADA (ВАЗ)
33,https://avatars.mds.yandex.net/get-autoru-vos/2165021/d5db5103e7f022fa9ff7bae02f703087/320x240,LADA (ВАЗ)
